,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
932, Bevzilla 200Gms Dark Wish Dark Roast Instant Coffee Powder| 100% Arabica Strong Coffee | Black Roast Rich & Dark Instant Coffee Powder | Make Upto 100 Cups | Bold & Intense| Premium Coffee | 100% Arabica Coffee , 799.00 ,399.00,None,None,BEVZILLA
933, Johnnie Walker Refreshing Mixer Non Alcoholic Carbonated Drink 330 ml Pack of 2 , 200.00 ,140.00,None,None,JOHNNIE WALKER
934," Ahnlich Hi5 Smash Energy Drink | Quick Source of Energy | For Gym, Workout, and Sports | Refreshing, and Energizing Drink | Good Source of Vitamin B2, B3, and B6 | 250 ML | Pack of 6 ", 540.00 ,425.00,None,None,AHNLICH HI5 SMASH
935, Manama Green Apple Fruit Syrup for Mocktails and Cocktails (750ML) ,310.00,310.00,None,None,MANAMA
936, Spag Herbals Instant Badam Milk Powder With Real Kesar And Almond 400G , 399.00 ,318.00,None,None,SPAG HERBALS
937, DiaBliss Herbal Diabetic Friendly Herbal Lemon Tea - Low GI - 30 x 10 Grams Sachet Box ,225.00,225.00,None,None,DIABLISS
938, Mapro Litchi Crush 1 L , 252.00 ,234.00,None,None,MAPRO
939," Electrorush ORS Apple Flavoured Rehydration Drink for Instant Energy, Pack of 30 (200 ml each) ", 882.00 ,794.00,None,None,ELECTRORUSH
940, Haldiram's Nagpur Shahi Thandai Syrup 750 ml , 380.00 ,353.00,None,None,HALDIRAM'S NAGPUR
941, Shunya Fizz Lime & Lemon | Sugar Free Soft Drink | 0 Calories & No Aspartame | Supercharged with Green Tea & Vitamin C | Pack of 6 (300 ml X 6) , 360.00 ,342.00,None,None,SHUNYA
942, Superlite Sugarfree Energy Drink | 0 Calories | Tropical Flavour | Max Kick Max Fizz | 6 Pack | Power Packed Energy Blend , 570.00 ,549.00,None,None,SUPERLITE
943," Chai Point Mixed Instant Teas ( Masala, Ginger, Cardamom, Classic ) | No Sugar | Instant Premix tea | Assam Tea | Flavoured tea | Tea Mix ", 398.00 ,300.00,None,None,CHAIPOINT
944," Electrorush ORS Plus Apple Flavour Energy Drink Juice with Electrolyte, Nutrients, Vitamins, Minerals, Energy Booster, Pack of 30 (200ml Each) "," 1,200.00 ","1,020.00",None,None,ELECTRORUSH
945, 9am Lime & Mint Mojito Mocktail Syrup 1000ml , 400.00 ,315.00,None,None,9 AM
946, KALOUR Nannari Sharbath 700ml (2pcs) , 200.00 ,125.00,None,None,KALOUR
947," Monster Ultra Blue Energy Drink Zero Sugar, 500 Mlpack of 2 ", 770.00 ,653.00, Imported ,None,MONSTER
948, Amrut Life 250g Classic Strong Dust Tea and 250g Elaichi Special With Adrak Tea Tea Pouch (2 x 250 g) , 180.00 ,170.00,None,None,AMRUT LIFE
