Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Is Pack of,Discount,Discount Percentage,Price Per Unit(Kg/L)
190, Good Life Whole (W320) Cashews 200 g ,250.0,189.0,,,GOOD LIFE,200.0,g,False,61.0,24.4,945.0
191, India Gate Regular Choice Basmati Rice 5 kg ,520.0,435.0,,,INDIA GATE,5.0,kg,False,85.0,16.35,87.0
192, Dhara Kachi Ghani Mustard Oil 5 L ,825.0,749.0,,( 149.80/1 l),DHARA,5.0,l,False,76.0,9.21,149.8
193, Nutraj Special Round Raisin 1 Kg (500 g X 2) ,598.0,329.0,,( 32.90/100 g),NUTRAJ,1.0,kg,False,269.0,44.98,329.0
194, DAIRY SAGAR GOPAL Desi Cow Ghee |Made Traditionally from Curd |Pure Cow Ghee for Better Digestion and Immunity | 1Ltr Tetra Pack ,680.0,399.0,,,DAIRYSAGAR,1.0,ltr,False,281.0,41.32,399.0
195, Good Life Urad Dal 1 kg ,191.0,159.0,,,GOOD LIFE,1.0,kg,False,32.0,16.75,159.0
196, Broken Wheat / Daliya 1 kg ,120.0,49.0,,,PRIVATE LABEL,1.0,kg,False,71.0,59.17,49.0
197, Fortune Biryani Special Basmati Rice 1 kg ,210.0,134.0,,,FORTUNE,1.0,kg,False,76.0,36.19,134.0
198," Farmley 1kg Popular Almonds Californian, 100% Natural, 2 Times Crunchier Badaam ",1799.0,799.0,,,FARMLEY,1.0,kg,False,1000.0,55.59,799.0
199, Good Life MP Wheat Chakki Atta 10 kg ,500.0,419.0,,( 41.90/1 kg),GOOD LIFE,10.0,kg,False,81.0,16.2,41.9
200, Wonderland Foods Platinum California Pistachios Roasted & Salted 400 g ,725.0,409.0,,,WONDERLAND FOODS,400.0,g,False,316.0,43.59,1022.5
201, Good Life Kabuli Chana 1 kg ,266.0,221.0,,,GOOD LIFE,1.0,kg,False,45.0,16.92,221.0
202, Naturoz 1kg Daily Whole Cashews ,1125.0,795.0,,,NATUROZ,1.0,kg,False,330.0,29.33,795.0
203, Nutraj California Walnut Kernels 250g ,499.0,319.0,,( 319.00/250 g),NUTRAJ,250.0,g,False,180.0,36.07,1276.0
204, Tata Sampann Unpolished Kala Chana 500 g ,74.0,68.0,,,TATA SAMPANN,500.0,g,False,6.0,8.11,136.0
205, Good Life Washed Gota Urad 1 kg ,198.0,161.0,,,GOOD LIFE,1.0,kg,False,37.0,18.69,161.0
206, Pillsbury Chakki Fresh Atta / Flour 5 kg ,286.0,219.0,,( 43.80/1 kg),PILLSBURY,5.0,kg,False,67.0,23.43,43.8
207, Nature's Choice Arabian Dates 500 g ,200.0,99.0,,,NATURE'S CHOICE,500.0,g,False,101.0,50.5,198.0
208, Satvikk 1000 gm Premium Almonds Californian 1 KG ,1400.0,689.0,,,SATVIKK,1000.0,gm,False,711.0,50.79,689.0
209, Fortune Rozana Basmati Rice 1 kg ,130.0,89.0,,,FORTUNE,1.0,kg,False,41.0,31.54,89.0
210, Good Life Almonds 200 g ,270.0,175.0,,,GOOD LIFE,200.0,g,False,95.0,35.19,875.0
211, Gemini Refined Sunflower Oil 5 L ,890.0,625.0,,( 125.00/1 l),GEMINI,5.0,l,False,265.0,29.78,125.0
212, DailyHerbs Anjeer 1kg - Premium Quality Afghani Anjeer | Naturally Dried Figs | Perfect for a Healthy Lifestyle ,1299.0,539.0,,,DAILYHERBS,1.0,kg,False,760.0,58.51,539.0
213, India Gate Super Basmati Rice 5 kg ,1080.0,729.0,,,INDIA GATE,5.0,kg,False,351.0,32.5,145.8
214, AweLiv Pure Olive Oil - 1 Ltr (Imported from Spain) ,1350.0,375.0,,,AWELIV,1.0,ltr,False,975.0,72.22,375.0
215, GO KITCHEN Afghanistan Afghani Anjeer Figs Big Size Anjir Dried Figs Zero Added Sugar & Preservatives Dry Fruit (Pack of 250 gram) ,359.0,249.0,,,GO KITCHEN,250.0,gram,True,110.0,30.64,996.0
216," English Nuts Mixed Dry Fruit, Nuts, Seeds, Berries - 1kg Trial Mix| 10+ Varieties | Lowest Price I ",3000.0,519.0,,,ENGLISH NUTS-THE DRY FRUITS HOUSE,1.0,kg,False,2481.0,82.7,519.0
217, Lali Balaji DAILY NUT California Almond VALUE 1000gm (250gm x pack of 4) ,1240.0,689.0,,,LALI BALAJI,1000.0,gm,True,551.0,44.44,689.0
218, Good Life Whole Moong 1 kg ,188.0,143.0,,,GOOD LIFE,1.0,kg,False,45.0,23.94,143.0
219, Anjani Popular Cashews/Kaju 1 kg ,1599.0,799.0,,,ANJANI,1.0,kg,False,800.0,50.03,799.0
220, Farmley Whole Cashews Natural Raw W400 Kaju 500g ,749.0,399.0,,,FARMLEY,400.0,kaju,False,350.0,46.73,
221, Good Life California Roasted & Salted Pista 200 g ,299.0,235.0,,,GOOD LIFE,200.0,g,False,64.0,21.4,1175.0
222, Amul Cow Ghee 500 ml (Pouch) ,325.0,308.0,,,AMUL,500.0,ml,False,17.0,5.23,616.0
223, GKD's Premium Pure Coconut Oil Jar (1 L) ,380.0,299.0,,,GKD'S PREMIUM,1.0,l,False,81.0,21.32,299.0
224, Smith & Jones Ginger Garlic Paste 200 g ,50.0,29.0,,( 14.50/100 g),SMITH & JONES,200.0,g,False,21.0,42.0,145.0
225, Sundrop SuperLite Advanced Refined Sunflower Oil 3 L ,489.0,489.0,,( 163.00/1 l),SUNDROP,3.0,l,False,0.0,0.0,163.0
226, Good Life Brown Chana 1 kg ,136.0,105.0,,,GOOD LIFE,1.0,kg,False,31.0,22.79,105.0
227, Puro Healthy Salt 1 kg ,110.0,95.0,,,PURO,1.0,kg,False,15.0,13.64,95.0
228," RED ROSE ROYAL BASMATI RICE 5KG I XXXL BIRYANI RICE I BEST BASMATI RICE FOR BIRYANI, 5 KG ",1299.0,699.0,,( 139.80/1 kg),RED ROSE,5.0,kg,False,600.0,46.19,139.8
229, LILA DRY FRUITS 500gms x 2 (1 Kgs) Mason Jar Pack Premium Dried Afghani Anjeer| Dried Figs ,1499.0,659.0,,,LILA DRY FRUITS,500.0,gms,False,840.0,56.04,
230, Good Life Phool Makhana 250 g ,300.0,249.0,,,GOOD LIFE,250.0,g,False,51.0,17.0,996.0
231, Nature's Choice Mixed Dry Fruits 400 g ,260.0,199.0,,,NATURE'S CHOICE,400.0,g,False,61.0,23.46,497.5
232, Tata Sampann Unpolished Tur / Arhar Dal 1 kg ,289.0,259.0,,,TATA SAMPANN,1.0,kg,False,30.0,10.38,259.0
233, Sharbati Wheat 5 kg ,285.0,199.0,,( 39.80/1 kg),PRIVATE LABEL,5.0,kg,False,86.0,30.18,39.8
234," GUNJAL SILKY PARMAL RICE, 30 KG ",1699.0,1649.0,,( 54.97/1 kg),GUNJAL,30.0,kg,False,50.0,2.94,54.97
235, Utkal's KASPER 30 Kg SONA MASURI RAW RICE ,2038.0,1698.0,,( 56.60/1 kg),UTKAL'S KASPER,30.0,kg,False,340.0,16.68,56.6
236," Pawan Foods ""Paaritosh"" Premium Kacchi Ghani Mustard Oil 2 Litre | Sarso ka Tel Pure | Khusi ke Sath, Bhojan ka Swad | Natural with Healthy | kali Sarso ka Tel ",520.0,425.0,,,PAWAN,2.0,litre,False,95.0,18.27,
237, BLK Foods 1Kg Indian Kishmish | Big Size Raisins ( 500g x 2) ,1400.0,349.0,,,BLK FOODS,1.0,kg,False,1051.0,75.07,349.0
238, Foodcan Kismis 1 Kg Black Afghani Raisin Dakh (Kishmis) 1 Kg Saver Pack ,1000.0,329.0,,,FOODCAN,1.0,kg,False,671.0,67.1,329.0
239, Good Life Dry White Peas 500 g ,67.0,61.0,,,GOOD LIFE,500.0,g,False,6.0,8.96,122.0
240, Everest Kashmirilal Chilli Powder 100 g ,124.0,105.0,,( 105.00/100 g),EVEREST,100.0,g,False,19.0,15.32,1050.0
241, Lotus Spices Green Elaichi 10 g ,39.0,28.0,,,LOTUS,10.0,g,False,11.0,28.21,2800.0
