Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform,Discount,Discount Percentage,Price Per Unit(Kg/L)
116, Horlicks Women's Plus Chocolate 400 g ,365.0,305.0,,,HORLICKS,400.0,g,1,Success,JoiMart,60.0,16.44,762.5
117, Real Active Orange Juice 1 L ,155.0,99.0,,,REAL,1.0,l,1,Success,JoiMart,56.0,36.13,99.0
118, Paper Boat Aamras 200 ml ,35.0,29.0,,,PAPER BOAT,200.0,ml,1,Success,JoiMart,6.0,17.14,145.0
119, Paper Boat Apple Fruit Juice 150 ml ,20.0,16.0,,,PAPER BOAT,150.0,ml,1,Success,JoiMart,4.0,20.0,106.67
120, Appy Fizz 250 ml ,20.0,18.0,,,APPY FIZZ,250.0,ml,1,Success,JoiMart,2.0,10.0,72.0
121, Continental STRONG Coffee Powder 1 Kg Bag ( 5 Pouches of 200g ) ,825.0,799.0,,,CONTINENTAL,1.0,kg,1,Success,JoiMart,26.0,3.15,799.0
122, Campa Sports Cricket Electrolytes 250 ml ,20.0,15.0,,,CAMPA,250.0,ml,1,Success,JoiMart,5.0,25.0,60.0
123, Tang Orange Instant Drink Mix 500 g ,150.0,121.0,,,TANG,500.0,g,1,Success,JoiMart,29.0,19.33,242.0
124, Red Bull Energy Drink 250 ml ,125.0,110.0,,,RED BULL,250.0,ml,1,Success,JoiMart,15.0,12.0,440.0
125, Octavius | Kadak Masala Tea - 1Kg | 100% Natural Spices | Black Tea | Strong Tea | Masala Chai | Natural Care | Kadak Chai Patti | Spiced Tea | Ayurvedic Herbs | Vedic Tea | Tea 1 Kg ,450.0,349.0,,,OCTAVIUS,1.0,kg,1,Success,JoiMart,101.0,22.44,349.0
126, SRI SRI Morvita Gain More Incomplete ,2459.0,2459.0,,,SRI SRI,,none,1,Failed,JoiMart,0.0,0.0,
127, Horlicks Classic Malt 500 g ,284.0,264.0,,,HORLICKS,500.0,g,1,Success,JoiMart,20.0,7.04,528.0
128, B Natural Litchi Fruit Juice 180 ml ,20.0,15.0,,,B NATURAL,180.0,ml,1,Success,JoiMart,5.0,25.0,83.33
129, Pediasure 7 Plus Chocolate Drink Powder 400 g ,460.0,427.0,,,PEDIASURE,400.0,g,1,Success,JoiMart,33.0,7.17,1067.5
130, Sprite Lemon Lime Flavor Soft Drink 250 ml (Pack of 8) ,160.0,135.0,,,SPRITE,250.0,ml,8,Success,JoiMart,25.0,15.62,540.0
131, PediaSure Vanilla Delight Drink Powder 400 g (Carton) ,770.0,654.0,,,PEDIASURE,400.0,g,1,Success,JoiMart,116.0,15.06,1635.0
132, Horlicks Lite Regular Malt 450 g ,349.0,304.0,,,HORLICKS,450.0,g,1,Success,JoiMart,45.0,12.89,675.56
133, Storia Badam Shake 180 ml ,45.0,30.0,,,STORIA,180.0,ml,1,Success,JoiMart,15.0,33.33,166.67
134, Real Fruit Power Litchi Juice 1 L ,125.0,89.0,,,REAL,1.0,l,1,Success,JoiMart,36.0,28.8,89.0
135, Tata Tea | Agni | Strong Leaf Tea| 250 Gm Each| Pack of 4| 1 Kg+ Green Elaichi 25 Gm ,450.0,450.0,,,TATA TEA,250.0,gm,4,Success,JoiMart,0.0,0.0,1800.0
136, Continental Speciale Instant Coffee Powder 50g Pouch | BUY 1 + GET 1 FREE | PACK OF 2 | 100% Pure Coffee | 100g (50g * 2 Pouches) ,329.0,159.0,,,CONTINENTAL,50.0,g,2,Success,JoiMart,170.0,51.67,3180.0
137, Cadbury Hot Chocolate Powder 200 g ,220.0,165.0,,,CADBURY,200.0,g,1,Success,JoiMart,55.0,25.0,825.0
138, Kinley Packaged Drinking Water 1 L ,20.0,18.0,,,KINLEY,1.0,l,1,Success,JoiMart,2.0,10.0,18.0
139, Campa Sports Cricket Electrolytes 500 ml ,30.0,22.0,,,CAMPA,500.0,ml,1,Success,JoiMart,8.0,26.67,44.0
140, Continental XTRA Coffee Powder 200gm Pouch | Strongest Instant Coffee | PACK OF 1 | ,380.0,369.0,,,CONTINENTAL,200.0,gm,1,Success,JoiMart,11.0,2.89,1845.0
141, Ensure Diabetes Care Vanilla Drink Powder 400 g ,925.0,800.0,,,ENSURE,400.0,g,1,Success,JoiMart,125.0,13.51,2000.0
142, Real Fruit Power Pomegranate Juice 1 L ,130.0,115.0,,,REAL,1.0,l,1,Success,JoiMart,15.0,11.54,115.0
143, Horlicks Chocolate Delight 500 g ,249.0,204.0,,,HORLICKS,500.0,g,1,Success,JoiMart,45.0,18.07,408.0
144, Stings Energy Drink 250 ml ,30.0,27.0,,,STING,250.0,ml,1,Success,JoiMart,3.0,10.0,108.0
145, Red Bull 250 ml (6 pcs) ,700.0,569.0,,,RED BULL,250.0,ml,1,Success,JoiMart,131.0,18.71,2276.0
146, 7 Up 250 ml ,20.0,18.0,,,7 UP,250.0,ml,1,Success,JoiMart,2.0,10.0,72.0
147, Real Fruit Power Guava Juice 1 L ,120.0,90.0,,,REAL,1.0,l,1,Success,JoiMart,30.0,25.0,90.0
148, Tetley Lemon & Honey Green Tea Bags 100 pcs ,625.0,312.0,,,TETLEY,100.0,pcs,1,Success,JoiMart,313.0,50.08,3.12
149, Society Masala Tea 1 kg (Pouch) ,640.0,489.0,,,SOCIETY,1.0,kg,1,Success,JoiMart,151.0,23.59,489.0
150, Budweiser Beats Energy Drink 250 ml ,110.0,55.0,,,BUDWEISER,250.0,ml,1,Success,JoiMart,55.0,50.0,220.0
151, Storia Chocolate Shake 180 ml ,45.0,30.0,,,STORIA,180.0,ml,1,Success,JoiMart,15.0,33.33,166.67
152, Bournvita 200 g ,125.0,116.0,,,BOURNVITA,200.0,g,1,Success,JoiMart,9.0,7.2,580.0
153, Paper Boat Jaljeera Drink 200 ml ,35.0,23.0,,,PAPER BOAT,200.0,ml,1,Success,JoiMart,12.0,34.29,115.0
154, Protinex Rich Chocolate 400 g ,675.0,595.0,,,PROTINEX,400.0,g,1,Success,JoiMart,80.0,11.85,1487.5
155, Continental Malgudi Filter Coffee 500gm Pouch ( 60% Coffee - 40% Chicory ) ,250.0,249.0,,,CONTINENTAL,500.0,gm,1,Success,JoiMart,1.0,0.4,498.0
156, Continental XTRA Coffee Powder 200gm Pouch | Strongest Instant Coffee | PACK OF 2 | 400gm ,760.0,649.0,,,CONTINENTAL,200.0,gm,2,Success,JoiMart,111.0,14.61,3245.0
157, Nescafe Classic Instant Coffee Powder 190 g ,680.0,610.0,,,NESCAFE,190.0,g,1,Success,JoiMart,70.0,10.29,3210.53
158, Cravova Classic Mojito 300 ml ,60.0,30.0,,,CRAVOVA,300.0,ml,1,Success,JoiMart,30.0,50.0,100.0
159, Complan Royal Chocolate Powdered Drink 500 g ,319.0,297.0,,,COMPLAN,500.0,g,1,Success,JoiMart,22.0,6.9,594.0
160, Paper Boat Chilli Guava Fruit Juice 200 ml ,35.0,23.0,,,PAPER BOAT,200.0,ml,1,Success,JoiMart,12.0,34.29,115.0
