,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Converted_Quantity,Numeric_Part
151,151,Til/Ellu - White,BB Royal,500.0,356.0,144.0,28.8,1 kg ,1 kg ,1000.0,1000.0
152,152,Organic - Cinnamon/Chakke,BB Royal,61.0,39.35,21.65,35.49,50 g ,50 g ,50.0,50.0
153,153,Turmeric Powder/Arisina Pudi,Tata Sampann,180.0,153.0,27.0,15.0,500 g ,500 g ,500.0,500.0
154,154,Cumin/Jeera/Jeerige - Whole,BB Popular,500.0,360.0,140.0,28.0,500 g ,500 g ,500.0,500.0
155,155,Basmati Rice/Basmati Akki - Feast Rozzana,India Gate,118.0,98.0,20.0,16.95,1 kg - Pouch,1 kg ,1000.0,1000.0
156,156,Hommade - Coconut Milk,Dabur,225.0,203.06,21.939999999999998,9.75,3x200 ml - Multipack,3x200 ml ,"(600.0, 'ml')",600.0
157,157,Besan Fine/Kadale Hittu,BB Royal,150.0,93.0,57.0,38.0,1 kg - Pouch,1 kg ,1000.0,1000.0
158,158,Powder - Tikhalal Chilly,Everest,660.0,660.0,0.0,0.0,1 kg - Pouch,1 kg ,1000.0,1000.0
159,159,Jaggery - Bucket,BB Royal,100.0,65.0,35.0,35.0,900 g ,900 g ,900.0,900.0
160,160,Organic Kabuli Chana/Kabuli Kadale,BB Royal,270.0,249.0,21.0,7.78,1 kg ,1 kg ,1000.0,1000.0
161,161,Horse Gram/Hurali Kaalu,BB Royal,36.0,33.0,3.0,8.33,200 g - Pouch,200 g ,200.0,200.0
162,162,Masoor Dal/Mysore Bele,BB Royal,37.0,28.0,9.0,24.32,200 g ,200 g ,200.0,200.0
163,163,Turmeric Powder,MTR,81.0,73.0,8.0,9.88,250 Gm ,250 Gm ,250.0,250.0
164,164,Jaggery/Bella - Kolhapuri,BB Royal,112.0,95.0,17.0,15.18,900 g ,900 g ,900.0,900.0
165,165,"Sona Masuri Raw Rice/Akki - 12 Months, Pesticide Free",Safe Harvest,525.0,430.5,94.5,18.0,5 kg ,5 kg ,5000.0,5000.0
166,166,Atta - Chakki Fresh,Fortune ,74.0,60.36,13.64,18.43,1 kg ,1 kg ,1000.0,1000.0
167,167,Ragi Flour/Ragi Hittu,BB Super Saver,90.0,54.0,36.0,40.0,1 kg ,1 kg ,1000.0,1000.0
168,168,Organic - Methi/Menthya,BB Royal,21.0,19.0,2.0,9.52,100 g ,100 g ,100.0,100.0
169,169,Organic - Pumpkin Seeds/Kumbalakayi Bija,BB Royal,475.0,404.0,71.0,14.95,500 g ,500 g ,500.0,500.0
170,170,Ginger Garlic Paste,Mother's Recipe,119.0,89.25,29.75,25.0,500 g ,500 g ,500.0,500.0
171,171,Tasty - Pro Fitness Conscious Edible Oil,Saffola,450.0,414.0,36.0,8.0,3X1 L - Multipack,3X1 L ,3.0,3.0
172,172,"Almond/Badam - Californian, Giri",Super Saver,1000.0,669.0,331.0,33.1,1 kg ,1 kg ,1000.0,1000.0
173,173,"Poha/Avalakki - Extra Thick, Mota",BB Royal,100.0,70.0,30.0,30.0,1 kg ,1 kg ,1000.0,1000.0
174,174,Organic Whole Wheat Atta,Aashirvaad,75.0,65.0,10.0,13.33,1 kg ,1 kg ,1000.0,1000.0
175,175,Basmati Rice/Basmati Akki - Classic,India Gate,235.0,222.72,12.280000000000001,5.23,1 kg - Pouch,1 kg ,1000.0,1000.0
176,176,Organic - Black Pepper/Kali Mirchi,BB Royal,500.0,400.0,100.0,20.0,2x200 g - Multipack,2x200 g ,"(400.0, 'g')",400.0
177,177,Chilli Powder,Aashirvaad,250.0,175.0,75.0,30.0,500 g ,500 g ,500.0,500.0
178,178,Masala - Sambar Powder,MTR,130.0,114.0,16.0,12.31,200 g - Pouch,200 g ,200.0,200.0
179,179,Idli Rava,Vijay,58.0,56.84,1.1599999999999966,2.0,1 kg ,1 kg ,1000.0,1000.0
180,180,Oil - Mantra GroundNut,Idhayam,246.0,246.0,0.0,0.0,1 L - Pouch,1 L ,1000.0,1000.0
181,181,Green Peas,BB Royal,70.0,35.0,35.0,50.0,200 g - Pouch,200 g ,200.0,200.0
182,182,Organic Cow Ghee/Tuppa,AKSHAYAKALPA,750.0,750.0,0.0,0.0,490 ml ,490 ml ,490.0,490.0
183,183,Idli Sooji/Rava,BB Royal,60.0,47.0,13.0,21.67,1 kg - Pouch,1 kg ,1000.0,1000.0
