,Product name,MRP,Discount,Tag,PerUnitPrice,Brand Generated
244, Tata Tea Premium| Desh Ki Chai| 250 Gm* 4 Packs| 1 Kg+ Green Ilayachi 25g| ,770.00,770.00,None,None,Tata Tea Premium
245, Patanjali Aloe Vera Fibre Juice 1 L , 210.00 ,189.00,None,None,Patanjali
246, Lipton Honey & Lemon Green Tea Bags 100 pcs , 625.00 ,562.00,None,None,Lipton
247, Society Leaf & Masala Tea 250gm Combo , 315.00 ,305.00,None,None,None
248," BEVZILLA Instant Coffee Powder - 48 Sachets (Hazelnut)| Hot & Cold Coffee| Makes 48 Cups| 100 % Arabica Coffee| Strong Coffee| Easy To Carry| Best Coffee| Espresso, Latte, Cappuccino ", 299.00 ,239.00,None,None,None
249, Gatorade Orange Sports Drink 500 ml , 50.00 ,45.00,None,None,Gatorade
250, Mogu Mogu Lychee Juice 25% with Nata De Coco 300 ml - Pack of 6 ,420.00,420.00,None,None,None
251, Storia Mango 100% Juice with No Added Sugar & Preservatives 750 ml , 170.00 ,85.00,None,None,Storia
252, Nature Day Orange Sparkling Fruit Drink 600 ml , 60.00 ,30.00,None,None,None
253," Shunya Go and Fizz Lime & Lemon Combo, Sugar Free Flavoured Soft Drink 300ml- (Pack of 12) ", 720.00 ,494.00,None,None,None
254, Aarambh Green Tea Bags 25 pcs , 170.00 ,65.00,None,None,None
255, PediaSure Vanilla Delight Drink Powder 200 g (Carton) , 420.00 ,390.00,None,None,None
256, Davidoff Espresso 57 Dark and Chocolatey Instant Coffee 100 g , 650.00 ,590.00,None,None,Davidoff
257, Society Premium Tea 1 kg , 600.00 ,540.00,None,None,None
258," Pepsi Turkey, 250 Ml |Pack of 2| ", 400.00 ,360.00,None,None,Pepsi
259, 9am Sharbat E Jannat Combo Pack of 2 (Rose 750ml+ Khus 750ml) , 280.00 ,205.00,None,None,None
260, Tropicana Orange Juice 1 L , 145.00 ,130.00,None,None,Tropicana
261, B Natural Mixed Fruit Chaat Juice 1 l , 140.00 ,130.00,None,None,B Natural
262, Galaxy Drink 750 ML (Red Grape) Combo Pack of 2 , 800.00 ,760.00,None,None,None
263, Tata Gold Care Flavoured Leaf Tea 250 g , 180.00 ,160.00,None,None,Tata
264, Storia Mixed Fruit Juice 750 ml , 170.00 ,85.00,None,None,Storia
265, Tata Grand Premium Coffee 50 g , 160.00 ,120.00,None,None,Tata
