,Product name,MRP,Discount,Tag,PerUnitPrice
251, Dhara Filtered Groundnut Oil 5 L ," 1,300.00 ","1,049.00",None,( 209.80/1 l)
252, Notlih 500g Green Cardamom | Hari Elaichi | Whole Elaichi | Premium Quality ," 3,000.00 ",999.00,None,None
253, BLK Foods Select 1Kg Californian Almond Kernel | American Jumbo size Healthy Badam Giri Nuts (500g x 2packs) ," 2,300.00 ",749.00,None,None
254, Anjani Daily California Almond (Badam) 1 Kg ," 1,319.00 ",699.00,None,None
255," Pawan Foods ""Paaritosh"" Premium Kacchi Ghani Mustard Oil, 5Ltr | Khushi Ke Saath, Bhojan Ka Swaad (5Ltr) Mustard Oil Tin (5 L) "," 2,360.00 ",999.00,None,None
256, Parmatma | Kachi Ghani Pure Mustard Oil | Good for Heart | Cholesterol Free | Fortified with vitamin D | Delicious food | Ideal for cooking food - 500ml ,87.00,87.00,None,None
257, Good Life California Roasted & Salted Pista 500 g ,569.00,569.00,None,None
258, Poorvigam Wooden Cold Pressed Groundnut Oil| Peanut Oil| 5 LTR ," 3,750.00 ","1,399.00",None,( 279.80/1 l)
259, Good Life HMT Kolam Rice 30 kg ," 1,750.00 ","1,359.00",None,( 45.30/1 kg)
260," Horaira Nutz Premium Dry fruits Combo Pack 750gm Cashew , Almond , Raisins (Pack of 3 Each 250gm) "," 1,300.00 ",570.00,None,None
261, Marwar Mirchi (Red Chilly powder-500g) + Haldi (Turmeric powder-200g) + Dhania (Coriander powder-200g) Agmark Spices Super Saver Combo Pack of 900g , 388.00 ,229.00,None,None
262, Aashirvaad Superior MP Whole Wheat Atta 2 kg , 119.00 ,109.00,None,( 54.50/1 kg)
263, Nature's Bliss Calcutta Meetha Paan Mouth Freshner Paan mukhwas Without Supari Jar Packing FD Quality Product (400gm) , 449.00 ,189.00,None,None
264, Good Life Big Fennel 100 g , 120.00 ,89.00,None,( 44.50/50 g)
265, Good Life Whole (W320) Cashews 100 g , 120.00 ,99.00,None,None
266, Foodcan Raisins 1 Kg Original Afghani Kismis Dakh Green Long Size (Kishmis) Seedless 1 Kg Supersaver Pack ," 1,500.00 ",299.00,None,None
267, Bioherbs 100% Natural Premium International California Almond 1 kg (Pack of 2) ," 3,598.00 ","1,399.00",None,None
268, Happilo 500g Popular Almond California , 625.00 ,434.00,None,None
269, Fortune Everyday Full Grain Basmati Rice 5 kg , 845.00 ,542.00,None,None
270, Tata Sampann Unpolished Urad Dal 1 kg , 224.00 ,208.00,None,None
271, Catch Kasuri Methi 25 g , 30.00 ,20.00,None,None
272, Oreal 6L Premium Canola Oil | Healthy Cooking Oil | Rich Natural Anti Oxidants | Preservative Free |5+1 Litres ," 2,050.00 ","1,154.00",None,( 192.33/1 l)
273, Good Life Chilka Urad Dal 500 g , 92.00 ,76.00,None,None
