,Sr.No.,Grocery_Name,Brand_Name,Rating,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity_upd,Price_per_unit(gm/ml/pc)
192,192.0,Salted Peanut,Haldiram's,4.1,265.0,265.0,0.0,0.0,1 Kg,0.265
193,193.0,Dark Soy Sauce,Ching's Secret,4.2,180.0,163.8,16.19999999999999,9.0,600 g,0.273
194,194.0,Chocolate Pack,Cadbury Nutties,4.2,360.0,360.0,0.0,0.0,240 g,1.5
195,195.0,Cup-A-Soup - Manchow Veg,Knorr,4.2,100.0,100.0,0.0,0.0,120 g,0.8333333333333334
196,196.0,"Masala Oats - Tasty Evening Snack, Fibre Rich, Veggie Twist",Saffola,4.2,449.0,368.18,80.82,18.0,1 kg,0.36818
197,197.0,Smiles Crispy - Happy Potatoes,McCain,4.1,370.0,370.0,0.0,0.0,1.25 kg,0.296
198,198.0,Mithai Shankarpali Sweet - Crispy,Tasties Origins,4.0,109.0,65.0,44.0,40.37,150 g,0.43333333333333335
199,199.0,"Oats - Tasty Evening Snack, Fibre Rich, Masala & Coriander",Saffola,4.2,195.0,171.6,23.400000000000006,12.0,500 g,0.3432
200,200.0,Namkeen - All in One,Haldiram's,4.1,100.0,100.0,0.0,0.0,400 g ,0.25
201,201.0,Cup-A-Soup - Hot & Sour Veg,Knorr,4.2,100.0,100.0,0.0,0.0,110 g,0.9090909090909091
202,202.0,Besan Laddoo,Daadi's,3.5,240.0,120.0,120.0,50.0,400 g,0.3
203,203.0,Farmlite Biscuit - Oats & Almonds,Sunfeast,4.2,195.0,152.49,42.50999999999999,21.8,450 g,0.3388666666666667
204,204.0,Besan Laddoo Mithai / Sweet,Tasties,3.6,160.0,85.0,75.0,46.88,200 g,0.425
205,205.0,"Nachos - Cheese Flavour, With Free Dip",Bingo,4.0,100.0,76.5,23.5,23.5,200 g,0.3825
206,206.0,Frozen - Mixed Vegetables,Safal,4.1,150.0,127.5,22.5,15.0,1 Kg ,0.1275
207,207.0,Muesli Breakfast Cereal - With Multigrain & 21% Fruit & Nut,BB Royal,3.9,720.0,419.0,301.0,41.81,1000 g,0.419
208,208.0,"Milkybar Bar - Rich Taste, Creamy",Nestle,4.2,10.0,10.0,0.0,0.0,12.5 g,0.8
209,209.0,Vermicelli - Made From Wheat,Aashirvaad,4.0,89.0,89.0,0.0,0.0,850 g,0.10470588235294118
210,210.0,"2 Minute Instant Noodles - Veggie Masala, Made With Quality Spices, Rich In Fibre",MAGGI,4.1,60.0,60.0,0.0,0.0,248 g ,0.24193548387096775
212,212.0,Nissin Geki - Hot & Spicy Korean Veg Flavour,Nissin,4.2,294.0,220.5,73.5,25.0,80 g ,2.75625
214,214.0,Minis Chocolate Home Treats Pack,Cadbury Dairy Milk Silk,4.2,600.0,541.44,58.559999999999945,9.76,459 g,1.179607843137255
