,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
269,Masala - Garam,Everest,4.1,₹200,₹200,200 g
270,Cow Ghee/Tuppa,Patanjali,4.2,₹2925,₹2925,5 L
271,Sugar Release Control Atta/Godihittu,Aashirvaad,4.2,₹338.8,₹385,5 kg
272,Kabuli Chana/Kabuli Kadale,BB Super Saver,3.9,₹207,₹230,1 kg
273,Organic - Idly/Idli Rice,BB Royal,3.9,₹680,₹838,2x5 kg - Multipack
274,Rajma/Capparadavare - Kashmiri,BB Royal,3.9,₹39,₹40,200 g - Pouch
275,Sugar,24 Mantra Organic,4,₹309.6,₹435,3x1 kg - Multipack
276,Sonamasuri Rice,24 Mantra Organic,4.1,₹1203.6,₹1770,3x5 kg - Multipack
277,Organic - Jowar Flour,BB Royal,0,₹162,₹190,2x1 kg - Multipack
278,"100% Pure Premium Cashews Whole - Premium Quality Kaju, Rich In Protein, Magnesium, & Phosphorus, Premium Nuts & Dry Fruits|",Tata Sampann,4.1,₹1100.85,₹1170,1 kg - Pouch
279,Walnut/Akhrot- Kernels,BB Royal,3.6,₹307,₹400,200 g - Vacuum Packed
280,Schezwan Fried Rice Masala,Chings,4.2,₹100,₹100,10 x 20 g - Multipack
281,Refined - Sunflower Oil,Dhara,4.2,₹577.5,₹725,5 L - Can
282,Coriander Seeds/Kottambari Beeja,BB Popular,3.9,₹49,₹80,200 g
283,Til/Ellu - Black,BB Royal,3.9,₹77,₹100,200 g
284,Chilli Powder/Menasina Pudi,Tata Sampann,4.2,₹277.2,₹360,500 g
285,Himalayan Pink Rock Salt/Uppu - Crystal,GoodDiet,3.9,₹99,₹110,1 kg
286,Coconut Milk - UHT Natural,Kara,4.3,₹320,₹320,4x200 ml - Multi Pack
287,Powder - Kashmirilal,Everest,4.2,₹255,₹255,200 g
288,Anjeer/Figs/Atti Hannu,BB Royal,3.8,₹931,₹1500,500 g
289,Pure Cow Ghee,Gowardhan,4.1,₹692,₹770,2 x 500 ml - Multipack
290,Gingelly Oil,Kpl Shudhi,4.2,₹379.71,₹415,1 L - Bottle
291,"Double Roasted Suji Rava - Less Moisture, More Quantity, Made From MP Wheat",Aashirvaad,3.9,₹73.15,₹77,1 kg
292,White Peas/Bili Batani,BB Royal,4,₹118,₹180,1 kg - Pouch
