,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
121,121,Green Tea - Long Leaf,Tetley,740.0,621.6,118.39999999999998,16.0,2x250 g - Multipack,2*250 g ,500 g,500.0,1.2432
122,122,Chilli Guava Fruit Juice,Paper Boat,210.0,193.2,16.80000000000001,8.0,6x200 ml - Multipack,6*200 ml ,1200 ml,1200.0,0.161
123,123,Natural Mineral Water,Himalayan,40.0,36.0,4.0,10.0,500 ml - Bottle,500 ml ,500 ml ,500.0,0.072
124,124,Instant Pure Coffee,BRU,390.0,331.5,58.5,15.0,100 g - Jar,100 g ,100 g ,100.0,3.315
125,125,Soft Drink - Lemon,7 Up,960.0,888.0,72.0,7.5,24x750 ml - Multipack,24*750 ml ,18000 ml,18000.0,0.04933333333333333
126,126,Drink Mix - Badam,MTR,80.0,80.0,0.0,0.0,100 g - Pouch,100 g ,100 g ,100.0,0.8
127,127,Fruit Juice - Guava Delight,Tropicana,230.0,190.0,40.0,17.39,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.095
128,128,"Juice - Fruit Power, Pomegranate/Anar",Real,120.0,95.2,24.799999999999997,20.67,6x200 ml - Multipack,6*200 ml ,1200 ml,1200.0,0.07933333333333334
129,129,Top Star Tea,3 Roses,410.0,371.0,39.0,9.51,500 g - Carton,500 g ,500 g ,500.0,0.742
130,130,Fruit Juice - Orange Drink,Paper Boat,360.0,324.0,36.0,10.0,3 x 1 L - Multipack,3*1 L ,3 L,3000.0,0.108
131,131,5 Star Magic Health Drink,Cadbury Bournvita,824.0,749.84,74.15999999999997,9.0,2x750 g - Multipack,2*750 g ,1500 g,1500.0,0.49989333333333336
132,132,100 % Mixed Fruit Juice - With No Added Sugar and Preservative,Real Activ,435.0,363.75,71.25,16.38,3x1 L - Multipack,3*1 L ,3 L,3000.0,0.12125
133,133,Rich Aroma Instant Coffee,Davidoff,1300.0,1235.0,65.0,5.0,2 x 100 g - Multipack,2*100 g ,200 g,200.0,6.175
134,134,Soft Drink,Coca Cola,198.0,176.0,22.0,11.11,2 x 2.25 L - (Multipack),2*2.25 L ,4.5 L,4500.0,0.03911111111111111
135,135,Tender Coconut Water With Pulpy Malai,Fresho,1440.0,936.0,504.0,35.0,24x200 ml - Multipack,24*200 ml ,4800 ml,4800.0,0.195
136,136,Soft Drink,Thums Up,480.0,444.0,36.0,7.5,12x300 ml - Multipack,12*300 ml ,3600 ml,3600.0,0.12333333333333334
137,137,Premium Tea With 20% Extra Long Leaf,Emperia,1250.0,838.0,412.0,32.96,2x1 kg - (Multipack),2*1 kg ,2 kg,2000.0,0.419
138,138,Green Tea  - Pure & Light,Lipton,330.0,303.6,26.399999999999977,8.0,2x25 pcs - Multipack,2*25 pcs ,50 pcs,50.0,6.072
139,139,Fruit Power Juice - Litchi,Real,375.0,331.74,43.25999999999999,11.54,3x1 L - Multipack,3*1 L ,3 L,3000.0,0.11058
140,140,Sports Drink - Orange Flavour,Gatorade,150.0,150.0,0.0,0.0,3x500 ml - Multipack,3*500 ml ,1500 ml,1500.0,0.1
141,141,Health Drink Vanilla Delight,Pediasure,1540.0,1420.0,120.0,7.79,2x400 g - Multipack,2*400 g ,800 g,800.0,1.775
142,142,Cold Extracted Juice - Pomegranate,Raw Pressery,900.0,837.0,63.0,7.0,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.4185
143,143,SOFT DRINK,Sprite,0.0,0.0,0.0,,250 ml ,250 ml ,250 ml ,250.0,0.0
144,144,Premium Leaf Tea,Wagh Bakri,0.0,0.0,0.0,,500 g ,500 g ,500 g ,500.0,0.0
145,145,"Classic, Pure & Natural From Highest Hills",Tata Tea Kanan Devan,292.0,265.72,26.279999999999973,9.0,1 kg ,1 kg ,1 kg ,1000.0,0.26572
146,146,Swing Juicier Drink - Mixed Fruit Medley,Paper Boat,60.0,60.0,0.0,0.0,6x150 ml - Multipack,6*150 ml ,900 ml,900.0,0.06666666666666667
147,147,"7+ Health Drink - With Oats & Almond, Vanilla Flavour",Pediasure,235.0,220.9,14.099999999999994,6.0,200 g - Box,200 g ,200 g ,200.0,1.1045
148,148,Filter Coffee Liquid Strong,iD,198.0,178.22,19.78,9.99,2 x 150 ml - Multipack,2*150 ml ,300 ml,300.0,0.5940666666666666
149,149,Mango Juice,Tropicana Slice,198.0,170.0,28.0,14.14,2x1.75 L - Multipack,2*1.75 L ,3.5 L,3500.0,0.04857142857142857
150,150,Golden Leaf Tea,Tata Tea Kanan Devan,275.0,233.75,41.25,15.0,500 g ,500 g ,500 g ,500.0,0.4675
151,151,"Mother's Plus, Vanilla",Horlicks,620.0,589.0,31.0,5.0,400 g - Carton,400 g ,400 g ,400.0,1.4725
152,152,Soft Drink - Lime Flavoured,Sprite,480.0,480.0,0.0,0.0,12x300 ml - Multipack,12*300 ml ,3600 ml,3600.0,0.13333333333333333
153,153,Fruit Power Juice - Mango/Aam,Real,345.0,296.82,48.18000000000001,13.97,3x1 L - Multipack,3*1 L ,3 L,3000.0,0.09894
154,154,Cold Brew Coffee - 100% Arabica,Sleepy Owl,575.0,575.0,0.0,0.0,250 g - (Set of 5),250 g ,250 g ,250.0,2.3
155,155,"Anar/Pomegranate Juice - With Low Sugar, No Added Preservatives",Paper Boat,600.0,510.0,90.0,15.0,200 ml - (Pack of 12),200 ml ,200 ml ,200.0,2.55
156,156,"Nutritious Milk Drink For Growing Children - Creamy Vanilla Flavour, For 2-6 Yrs",Nestlé NANGROW,610.0,610.0,0.0,0.0,400 g - Carton,400 g ,400 g ,400.0,1.525
157,157,"Care Flavoured Tea - Brahmi, Ginger, Tulsi, Elaichi & Adhimadhuram",Tata Tea Chakra Gold,240.0,228.0,12.0,5.0,250 g - Carton,250 g ,250 g ,250.0,0.912
158,158,Fresh Filter Coffee - 80 Degree,Continental Malgudi,310.0,294.5,15.5,5.0,500 g - 1,500 g ,500 g ,500.0,0.589
159,159,"Organic Tulsi Green Tea - Lemon & Ginger, Stress Relieving",Organic India,215.0,206.4,8.599999999999994,4.0,45 g - (25 Bags x 1.8 g each),45 g ,45 g ,45.0,4.586666666666667
