,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
238,Mixed Vegetable Cup A Soup - No Added Preservatives,₹10,₹10,Knorr,9.5 g 
239,"All Natural Peanut Butter - Unsweetened, Crunchy",₹278,₹330,Pintola,2x350 g - Multipack
240,Cheez Puffs,₹46,₹50,Cheetos,5x28 g - Multipack
241,Cup-A-Soup - Hot & Sour Veg,₹100,₹100,Knorr,10x11 g - Multipack
242,Happy Happy Choco-Chip Cookies,₹70,₹140,Parle,396 g 
243,Marie Light Active - Original Biscuits,₹81,₹90,Sunfeast,3x186 g 
244,"Oats Multigrain Rolled Oats Wholegrain - High Protein & Fibre For Weight Loss, Dalia Porridge",₹262.5,₹350,Quaker,2 x 600 g - Multipack
245,Cup-A-Soup - Manchow Veg,₹100,₹100,Knorr,10x12 g - Multipack
246,Grated Coconut,₹99,₹99,sumeru,200 g 
247,Vermicelli - Rice Sevai,₹55,₹55,MTR,400 g - Pouch
248,"Bites - Almond, Roasted & Chocolate Coated",₹158.62,₹225,Cadbury Dairy Milk,3 x 40 g - Multipack
249,Chocos,₹515,₹515,Kelloggs,1.15 Kg 
250,Vermicelli - Made From Wheat,₹89,₹89,Aashirvaad,850 g 
251,Fatafat Bhel,₹270,₹270,Haldiram's,6x65 g - Multipack
252,Choco Pie - Chocolate Coated Soft Biscuit,₹238.68,₹340,Orion,336 g - (Pack of 2)
253,"Daily Pasta - Made From Durum Wheat, Elbow",₹75,₹150,Bambino,500 g 
254,Waffy Wafers - Chocolate Flavoured Creamy & Crunchy,₹25,₹50,Dukes ,60 g - Pouch
255,Peanut Filled Chocolate Bar,₹12240,₹14400,Snickers,288x45 g - Multipack
256,Mixture - Cornflakes,₹150,₹150,Haldiram's,2x150 g - Multipack
257,Dark Chocolate- 55% Rich In Cocoa,₹110,₹110,Amul,150 g - Carton
258,Crunchy Granola Almonds & Cranberries,₹345,₹380,Kelloggs,460 g 
259,Oats Cookies Orange Almond,₹57,₹75,Britannia NutriChoice ,3x 75 g - Multipack
260,"Masala Oats - Tasty Evening Snack, Fibre Rich, Veggie Twist",₹359.2,₹449,Saffola,1 kg 
261,"Milkybar Bar - Rich Taste, Creamy",₹10,₹10,Nestle ,12.5 g 
262,Roasted Vermicelli,₹74,₹130,BB Royal,2x400 g - Multipack
263,Murukku,₹65,₹65,Haldiram's,200 g - Pouch
264,"Oats - Tasty Evening Snack, Fibre Rich, Classic Masala",₹359.2,₹449,Saffola,1 kg - Pouch
265,Happala,₹80,₹80,Anil,200 g - Pouch
266,Masala Instant Noodles,₹197.59,₹210,Top Ramen ,2 x 480 g - Multipack
267,Jim Jam Pops Biscuit,₹85,₹100,Britannia,350 g 
268,Namkeen - Bhel Puri,₹110,₹120,Haldiram's,300 g - Pouch
269,Green Chilly Sauce,₹163.8,₹180,Ching's Secret,3x190 g - Multipack
270,Elbow Macaroni,₹74,₹120,BB Royal,2x400 g - Multipack
271,"American Pistachios - Roasted & Salted, 100% Natural, Premium, No Additives",₹279.3,₹399,Grocery Farm,200 g 
272,Spiced Chicken Instant Cup Noodles,₹133.86,₹150,Nissin,3x70 g - Multipack
273,"Corn Starch Powder Cornflour - Gluten Free Product, Makes A Smooth Paste",₹90,₹90,Weikfield,500 g - Carton
