,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
185,"Diabetic Care Formula Mix-Chocolate, Nutrition For Diabetes Management",₹1850,₹1850,ENSURE DIABETES CARE,2 x 400 g - Multipack
186,Energy Drink,₹210,₹210,Sting,6X250 ml - MultiPack
187,Coconut Water - Rich In Electrolytes With Vitamin C,₹1200,₹1200,Cocomama,24x250 ml - Multipack
188,"Millet Chocolate - Rich In Calcium, Protein & Iron",₹354,₹399,Horlicks,600 g 
189,Natural Mineral Water,₹50,₹50,Himalayan,750 ml 
190,Mountain Dew,₹67,₹75,Mountain Dew,1.5 L 
191,Kadak Tea,₹758,₹1140,Emperia,2x1 kg - (Multipack)
192,Desh Ki Chai,0,0,Tata Tea Premium,250 g 
193,"Masala Tea - Spiced & Flavourful Assam Blend, Staple Free & Environment Friendly Bags",₹279,₹310,Tetley,100 g - (50 Bags x 2 g each)
194,"Fruit Juice - Delight, Pomegranate",₹250,₹250,Tropicana,2x1 L - Multipack
195,Chamomile Tea - Tulsi Honey,₹187.2,₹195,Organic India,43.5 g - (25 Bags x 1.7 g each)
196,Soft Drink - Lemon,₹768,₹840,7 Up,24x250 ml - Multipack
197,Tea Blend With Rich Taste Natural Ingredients Improves Immunity Memory,₹472.5,₹630,Tata Tea Gold Care,1 Kg 
198,Health Drink - Choco Caramel,₹280,₹280,Maltova,500 g - Carton
199,Health Drink Kesar Badam,₹450,₹450,Pediasure,200 g - Carton
200,Coffee - Pure,₹442,₹442,Narasus,500 g - Pouch
201,Fruit Juice - Grape,₹223.44,₹250,Real,2 x 1 L - Multipack
202,Coffee - Brownie Special,₹104,₹104,Bayars,200 g 
203,"Black Roast Instant Coffee - Rich & Dark, 100% Pure, Soluble Powder",₹592,₹740,Nescafe Classic,2x90 g - Multipack
204,"Diabetes Care - High In Fibre & Protein, Creamy Vanilla Flavour",₹665,₹740,Protinex ,400 g 
205,Sports Drink - Blue Bolt Flavour,₹240,₹240,Gatorade,6x500 ml - (Multipack)
206,"Coffee - Udhayam, Blend of Coffee & Chicory",₹357,₹357,Narasus,500 g - Pouch
207,Aam Panna Mango Drink,₹193.2,₹210,Paper Boat,6x200 ml - Multipack
208,Soft Drink,₹768,₹840,Mountain Dew,24x250 ml - Multipack
209,Smartwater,₹720,₹720,Glaceau ,12x750 ml - Multipack
210,"Green Tea - Ginger Mint & Lemon, Rich In Antioxidants",₹5250,₹7500,Tetley,12x140 g - Multipack
211,Club Soda - Evervess,₹20,₹20,Lehar,600 ml - Bottle
212,Cold Pressed Pomegranate Juice,₹399,₹469,Fresho Signature,1 L - Pet Bottle
213,Premium Instant Coffee - 100% Coffee Blend,₹220.4,₹290,Tata Coffee Grand,100 g - Pouch
214,Soft Drink - Orange,₹792,₹840,Mirinda,24x250 ml - Multipack
215,Exotic Dark Hot Chocolate Drink Powder Mix,₹202.4,₹220,Hersheys ,250 g 
216,Alphonso Mango - 100% Natural Cold Pressed Juice,₹697.5,₹750,Raw Pressery,3 x1 L - Multipack
217,"Slurpy Mango Juice - Enriched With Vitamin D, No GMOs",₹108,₹120,Paperboat Swing,3x600 ml - Multipack
218,Fruit Juice - Masala Pomegranate,₹137.2,₹280,Real,2 x 1 L - Multipack
219,100% Juice - Mixed Fruit,₹435,₹435,Tropicana,3x1 L - Multipack
220,Fruit Power Juice - Mixed Berries,₹107,₹130,Real,1 L 
221,Green Tea - Lemon & Honey,₹955,₹955,Twinings,200 g - (100 Bags x 2 g each)
222,Milo Cocoa-Malt Milk Beverage - Grab & Go Pack,₹270,₹270,Nestle ,6x180 ml - Multipack
223,"Gold - 100% Pure Coffee, Original , Robusta & Arabica Beans Blend",₹395.2,₹520,Tata Coffee,100 g - Jar
224,"Fruit Juice - Pink Guava, Rich In Vitamin C",₹164.15,₹250,Real,2 x 1 L - Multipack
225,Instant Tea - Premix With Ginger,₹140,₹140,Girnar,10 pcs 
226,"Zero Lemon Lime Sparkling Water - Carbonated Water, Sugar Free, No Calories",₹162,₹180,Paper Boat,3 x 600 ml - (Multipack)
227,Diabetes Care Specialised Nutrition Drink Vanilla,₹995,₹995,Ensure,400 g - Jar
228,"Instant Iced Tea - Rich In Vitamin C, Light & Refreshing, Lemon Flavour",₹190,₹200,Nestea,400 g - Pouch
229,Delight Fruit Juice - Cranberry,₹270,₹270,Tropicana,2x1 L - (Multipack)
230,Copper+,₹17.6,₹20,Tata ,1 L - Bottle
231,Ale Of Grapefruits - A Traditional Recipe,₹520,₹520,Gunsberg,330 ml - (Pack of 6)
232,"Creamy Classic Nutritious Health Drink - Vitamin C & A Supports Kids Immune, Clinically Proven For 2X Faster Growth Formula",₹514.28,₹559,Complan,1 kg - Carton
233,Cappuccino,₹400,₹400,Nescafe ,2x100 g - Multipack
234,"Guava Juice - Rich In Fibre, Vit C & E, 100% Fruit Pulp & 0% Concentrate",₹277.88,₹390,B Natural,1 L - (Pack of 3)
235,Fresh Filter Coffee - 60 Degree,₹209,₹220,Continental Malgudi,500 g 
236,"Vedic Tea - Handpicked From Assam, Nilgiri & Darjeeling",₹221.25,₹295,Dabur,500 g 
237,Tender Coconut Water,₹47,₹50,Cocojal,200 ml - Bottle
238,French Roast Home Espresso Dark Roasted Arabica Ground Coffee,₹470,₹470,Blue Tokai,250 g 
239,"Coffee - Instant, Insta Strong",₹109,₹109,Narasus,50 g - Pouch
240,"Coffee - Chikamagalur Aroma Premium Fresh Filter Coffee, Using 100% German Machinery to Roast & Grind",₹159,₹159,Riseup,250 g 
241,"High Protein Drink - Chocolate, Protein+",₹1235,₹1300,Horlicks,2x400 g - Multipack
242,Organic Chamomile Tea - Tulsi Honey,₹139,₹199,IndiSecrets,36 g - (20 Bags x 1.8 g each)
243,Infusion Bags - Tulsi Green Tea,₹206.4,₹215,Organic India,43.5 g - (25 Bags x 1.74 g each)
244,Rich Masala Tea,₹160,₹160,Taj Mahal,25 pcs 
245,This Cappuccino 3 In 1 Premix Instant Coffee,₹112.5,₹125,Continental,22 g - (Buy 5 Get 1 Free )
246,Green Tea - Regular,₹875,₹1250,Tetley,2x100 Teabags - Multipack
247,"Fruit Beverage - No Added Sugar, Low Calories, Peach",₹153,₹180,Paper Boat,3x600 ml - Multipack
248,"Elaichi Tea - Cardamom Flavoured, Assam Blend, Staple-Free, Environment Friendly Bags",₹279,₹310,Tetley,100 g - (50 Bags x 2 g each)
249,"Health Drink - Chocolate Flavour, Provides Complete Nutrition For Adults",₹1680,₹1680,Ensure,2 x 400 g - Multipack
250,"Fruit Juice - Orange, Rich In Vitamin C",₹37.24,₹40,Real,2 x 180 ml - Multipack
