,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
260,Potato Chips Original Style - Salt Sprinkled,₹54,₹60,Bingo,3x45 g - Multipack
261,"Wheat Chapathi - Soft, Tasty & Highly Nutritious, Just Heat",₹40,₹40,Asal,200 g 
262,Microwave Popcorn - Butter Lovers Flavor,₹426,₹450,ACT II,6x99 g - Multipack
263,Makka Popcorn - Corn Kernels,₹38,₹40,4700BC,200 g 
264,"Essentials Oats Cookies (No Added Sugar & Diabetic Friendly),",₹118.27,₹140,Britannia NutriChoice ,2x 150 g - Multipack
265,"Peanut Chikki - Made With jaggery, Healthy Snack, Protein Rich",₹85,₹85,SDA ,200 g - POUCH
266,Appalam - No 6,₹60,₹60,Ambika,100 g 
267,Elbow Macaroni,₹74,₹120,BB Royal,2x400 g - Multipack
268,Choco Pie - Chocolate Coated Soft Biscuit,₹244.8,₹340,Orion,336 g - (Pack of 2)
269,Mast Masala Soupy Noodles,₹60,₹60,Knorr,3x70 g - Multipack
270,"Oats - Tasty Evening Snack, Fibre Rich, Classic Masala",₹368.18,₹449,Saffola,1 kg - Pouch
271,Potato Chips - Sizzlin Hot,₹20,₹20,Lays,40 g 
272,"Multigrain Energy Bar - Chocolate Chunk Nut, Healthy, High In Protein & Fibre",₹35,₹40,Yoga Bar,38 g 
273,Papad - Urad,₹366,₹366,Lijjat,1 kg - Pouch
274,Namkeen - Masala Kaju,₹100,₹100,Haldiram's,2x35 g - Multipack
275,Dharwad Peda,₹130,₹130,Lal sweets Pvt Ltd,200 g - Carton
276,Treat Strawberry Wafers,₹50,₹100,Britannia Treat,2 x 55 g - (Multipack)
277,Mysore Pak Prem,₹250,₹250,Lal,400 g 
278,"Natural Peanut Butter - Crunchy, Unsweetened",₹384,₹425,Pintola,1 kg 
279,Farmlite 5 Grain Digestive Biscuit - High Fibre,₹120.12,₹240,Sunfeast,800 g 
280,"Waffy Wafers - Vanilla Flavoured, Creamy & Crunchy",₹25,₹50,Dukes ,60 g - Pouch
281,"0% Added Sugar Millet Muesli, High Protein, Rich In Fibre",₹343.85,₹529,Tata Soulfull,700 g 
282,Rice Sevai,₹71.2,₹89,Manna,200 g - Pouch
283,Bounce Biscuits - Elaichi Creme Cookies,₹57,₹60,Sunfeast,6x58 gm - Multipack
284,Farmlite Biscuit - Oats And Chocolate,₹103.87,₹130,Sunfeast,2x150 g - Multipack
285,Chocolate Syrup,₹285,₹300,Hersheys ,3x200 g - Multipack
286,Namkeen Green Chutney Style,₹10,₹10,Kurkure,36 g 
287,Good Day Chunkies Chocolate Cookies,₹60,₹80,Britannia,120 g 
288,Yummiez Nuggets - Chicken,₹325,₹350,Godrej Yummiez,500 g - Pouch
289,"Dinamita Tortilla Chips - Fiery Crunchy, Nachos, Snacks, Lime & Chilli Flavour",₹72,₹90,Doritos,3 x 56g - Multipack
